Object,Mouth,Temperature,Precp,RH,StnPres,WS
2010-花蓮縣-5,5,22.59,105.63,75,959.92,0.97
2010-臺東縣-5,5,22.95,225.59,82.75,954.62,1.68
2010-金門縣-5,5,21.8,183.1,83,1006.9,2.3
2010-連江縣-5,5,19.6,141.7,90,1000,3
2010-澎湖縣-5,5,25.55,77.65,83.5,1006.5,4.2
2010-臺北市-6,6,24.65,412.93,87,980.98,1.55
2010-新北市-6,6,24.61,383.13,89.16,989.77,1.22
2010-桃園市-6,6,24.88,370.39,82,987.9,1.3
2010-基隆市-6,6,25,264.7,86,1000.85,3.75
2010-新竹縣-6,6,23.72,357.54,84.22,966.46,1.01
2010-新竹市-6,6,26.3,283.5,80,1007.2,1.3
2010-苗栗縣-6,6,24.64,411.45,79.75,977.2,1.12
2010-臺中市-6,6,22.97,503.8,78.5,1002.25,2.5
2010-彰化縣-6,6,27,385.67,0,0,1.85
2010-南投縣-6,6,16.69,452.34,85.5,771.55,2.06
2010-雲林縣-6,6,25.23,316.83,0,0,1.65
2010-嘉義縣-6,6,19.83,416.28,93,870.15,0.67
2010-嘉義市-6,6,27.7,269.8,80,1005.8,2.4
2010-臺南市-6,6,27.45,316.79,73.5,1002.06,1.92
2010-高雄市-6,6,27.42,370.57,79,1007.9,0.72
2010-屏東縣-6,6,25.88,328.98,84,988.9,1.42
2010-宜蘭縣-6,6,24.11,210.95,82.5,968.49,1.4
2010-花蓮縣-6,6,23.76,150.5,79,959.14,0.94
2010-臺東縣-6,6,24.31,89.28,82.5,953.99,1.66
2010-金門縣-6,6,24.3,187.4,88,1005.2,2.5
2010-連江縣-6,6,23.1,208.9,89,998.4,4.2
2010-澎湖縣-6,6,27.15,88.8,86,1005.8,4.8
2010-臺北市-7,7,28.4,60.08,76.6,981.08,1.66
2010-新北市-7,7,28.15,83.45,80,989.8,1.47
2010-桃園市-7,7,28.3,66.44,71.17,987.88,1.52
2010-基隆市-7,7,28.9,21.65,78.5,1000.8,4.8
2010-新竹縣-7,7,26.46,185.3,78.11,966.73,1.01
2010-新竹市-7,7,29.2,75,73,1007.2,1.6
2010-苗栗縣-7,7,27.1,226.05,73.75,977.42,1.06
2010-臺中市-7,7,24.97,324.22,74,1002.85,2.4
2010-彰化縣-7,7,29.35,216.5,0,0,1.85
2010-南投縣-7,7,17.79,400.39,79.5,772.85,1.69
2010-雲林縣-7,7,26.6,382.17,0,0,1.65
2010-嘉義縣-7,7,20.43,715.31,91,872,0.67
2010-嘉義市-7,7,29,459.3,79,1006.4,2.4
2010-臺南市-7,7,28.5,476.79,71.5,1003.26,1.67
2010-高雄市-7,7,28.38,574.96,76,1008.2,0.78
2010-屏東縣-7,7,26.92,434.81,82,989.3,1.58
2010-宜蘭縣-7,7,27.04,109.22,76.5,972.5,1.57
2010-花蓮縣-7,7,26.04,132.52,73,961.21,1.15
2010-臺東縣-7,7,25.81,211.58,80.5,955.14,1.63
2010-金門縣-7,7,28,4.4,85,1004.7,2
2010-連江縣-7,7,27.1,5.9,89,997.7,5.3
2010-澎湖縣-7,7,28.9,145.7,83,1006.25,3.75
2010-臺北市-8,8,28.06,334.36,78.6,981.04,1.83
2010-新北市-8,8,27.95,263.65,81.92,989.84,1.55
2010-桃園市-8,8,28.47,165.22,71.33,987.68,1.37
2010-基隆市-8,8,28.8,357.4,80,1000.85,4.3
2010-新竹縣-8,8,26.37,187.5,79.44,966.47,0.76
2010-新竹市-8,8,29,148,76,1006.9,1.1
2010-苗栗縣-8,8,26.82,166.18,77,977.08,0.86
2010-臺中市-8,8,24.9,194.98,76,1002.1,1.73
2010-彰化縣-8,8,29.15,109.67,0,0,1.25
2010-南投縣-8,8,17.8,224.02,81.5,772.15,1.72
2010-雲林縣-8,8,26.73,186.5,0,0,1.1
2010-嘉義縣-8,8,20.2,466.81,90,871.25,0.53
2010-嘉義市-8,8,28.8,208.7,81,1005.3,1.7
2010-臺南市-8,8,28.48,419.25,71,1002.4,1.47
2010-高雄市-8,8,28.32,261.8,78,1007.03,0.67
2010-屏東縣-8,8,26.79,354.02,81,988.26,1.2
2010-宜蘭縣-8,8,26.94,166.45,77.5,972.95,1.54
2010-花蓮縣-8,8,25.95,91.99,73,961.47,1.1
2010-臺東縣-8,8,25.55,157.32,80.75,954.86,1.59
2010-金門縣-8,8,29,8.4,78,1004.9,2.3
2010-連江縣-8,8,28.1,19.7,85,998.9,3.7
2010-澎湖縣-8,8,29.5,28.75,81.5,1005.25,2.65
2010-臺北市-9,9,26.84,229.06,79,981.99,2.08
2010-新北市-9,9,26.78,288.78,82.76,990.92,1.98
2010-桃園市-9,9,26.95,151.22,76.67,988.7,1.35
2010-基隆市-9,9,27.55,296.75,79.5,1002.4,5.25
2010-新竹縣-9,9,25.23,240.01,81.44,967.2,0.84
2010-新竹市-9,9,27.6,69,79,1007.8,1
2010-苗栗縣-9,9,25.6,190.64,80,977.78,0.98
2010-臺中市-9,9,24.07,197.09,77,1002.65,2
2010-彰化縣-9,9,28.15,109.75,0,0,1.5
2010-南投縣-9,9,17.09,245.35,84.5,771.8,2.11
2010-雲林縣-9,9,26.33,230,0,0,1.4
2010-嘉義縣-9,9,19.73,598.88,88,871.35,0.67
2010-嘉義市-9,9,27.5,252.3,84,1005.9,1.8
2010-臺南市-9,9,27.47,608.45,74.5,1003.04,2.07
2010-高雄市-9,9,27.33,747.29,80,1007.8,1.28
2010-屏東縣-9,9,25.65,976.97,83,988.96,1.64
2010-宜蘭縣-9,9,25.78,322.44,76.5,974.2,2.08
2010-花蓮縣-9,9,24.4,534.88,76,962.69,1.26
2010-臺東縣-9,9,23.98,881.55,83.5,955.84,1.65
2010-金門縣-9,9,27.3,130.5,81,1006.3,2.9
2010-連江縣-9,9,27.1,59.8,85,1000.7,3.5
2010-澎湖縣-9,9,28.1,254.85,82.5,1005.85,5
2010-臺北市-10,10,22.57,573.69,84.5,985.56,2.47
2010-新北市-10,10,22.62,666.68,87.4,994.67,2.24
2010-桃園市-10,10,22.85,183.11,81.5,992.5,1.85
2010-基隆市-10,10,23.75,383.6,79,1006.2,6.5
2010-新竹縣-10,10,21.98,103.96,82.22,970.21,1.71
2010-新竹市-10,10,24.4,34.5,77,1011.4,0.9
2010-苗栗縣-10,10,22.46,32.09,79.5,980.58,1.7
2010-臺中市-10,10,21.4,10.37,73.5,1005.05,3.07
2010-彰化縣-10,10,25.45,1,0,0,2.95
2010-南投縣-10,10,15.69,59.15,79,772.3,1.74
2010-雲林縣-10,10,23.95,35.38,0,0,1.9
2010-嘉義縣-10,10,18.57,107.32,88,872.05,0.6
2010-嘉義市-10,10,25.1,15.8,82,1008,2
2010-臺南市-10,10,25.63,62.25,71.5,1004.84,2.1
2010-高雄市-10,10,26.03,180.29,76,1009.43,0.85
2010-屏東縣-10,10,24.39,361.12,76,990.36,1.96
2010-宜蘭縣-10,10,22.05,1155.85,82,977.39,1.97
2010-花蓮縣-10,10,22.06,620.14,74,964.98,1.44
2010-臺東縣-10,10,22.28,480.6,79.5,957.54,2.38
2010-金門縣-10,10,22.9,129.6,68,1010.7,4.2
2010-連江縣-10,10,21.4,50.7,77,1005.8,4.6
2010-澎湖縣-10,10,25.35,54.45,77.5,1008.25,8.8
2010-臺北市-11,11,19.25,129.31,81.8,989.41,2.38
2010-新北市-11,11,19.25,250.9,84.52,998.7,2.18
2010-桃園市-11,11,19.52,54,77.67,996.17,2.13
2010-基隆市-11,11,20.75,279.95,74,1010.6,5.65
2010-新竹縣-11,11,18.48,35.23,78.44,973.58,1.66
2010-新竹市-11,11,20.7,19.5,75,1015.5,0.8
2010-苗栗縣-11,11,18.82,21.82,76.75,984.35,1.4
2010-臺中市-11,11,17.63,24.52,73.5,1009.4,2.7
2010-彰化縣-11,11,21.2,20.12,0,0,2.4
2010-南投縣-11,11,12.25,54.18,74,773.4,1.7
2010-雲林縣-11,11,20.1,32.38,0,0,2.08
2010-嘉義縣-11,11,15.53,58.37,85,874.5,0.63
2010-嘉義市-11,11,20.9,40.9,83,1012.5,1.4
2010-臺南市-11,11,21.63,59.05,73,1010.22,1.85
2010-高雄市-11,11,22.55,49.75,74,1013.87,0.82
2010-屏東縣-11,11,21.65,20.41,69,994.34,2.15
2010-宜蘭縣-11,11,18.65,432.71,82.5,981.27,1.5
2010-花蓮縣-11,11,18.73,139.23,71,968.81,1.35
2010-臺東縣-11,11,19.48,71.58,73.5,961.21,2.52
2010-金門縣-11,11,18.9,14.2,70,1015.7,3.5
2010-連江縣-11,11,17,19.2,78,1010.1,4.2
2010-澎湖縣-11,11,21.85,17.1,74.5,1012.9,8
2010-臺北市-12,12,15.47,96.8,74.8,988.31,1.9
2010-新北市-12,12,15.44,168.72,79.08,997.61,1.85
2010-桃園市-12,12,15.5,86.78,72,995.73,1.4
2010-基隆市-12,12,16.95,144.8,70,1009.8,5.15
2010-新竹縣-12,12,14.29,67.11,73.56,972.98,1.04
2010-新竹市-12,12,16.2,48.5,73,1015.4,0.9
2010-苗栗縣-12,12,15.08,47.91,72,984.05,1.4
2010-臺中市-12,12,14.27,33.38,69,1009.2,2.9
2010-彰化縣-12,12,17.5,20.88,0,0,2.3
2010-南投縣-12,12,8.85,43.92,64.5,770.65,2.22
2010-雲林縣-12,12,16.8,25.38,0,0,2.1
2010-嘉義縣-12,12,12.5,43.88,76,872.75,0.77
2010-嘉義市-12,12,17.6,32.7,76,1012.2,1.9
2010-臺南市-12,12,18.43,22,66.5,1010.04,2.2
2010-高雄市-12,12,19.45,30.36,67,1013.33,0.92
2010-屏東縣-12,12,18.96,23.52,69,993.7,1.96
2010-宜蘭縣-12,12,15.46,166.6,73,979.96,1.75
2010-花蓮縣-12,12,15.68,70.39,66,967.22,1.29
2010-臺東縣-12,12,16.72,25.4,71,959.78,2.19
2010-金門縣-12,12,14.8,34.1,73,1015,3
2010-連江縣-12,12,13.5,41.1,75,1008.7,3.2
2010-澎湖縣-12,12,19.45,11.8,69.5,1012.45,7.05
2011-臺北市-1,1,11.93,153.68,86.7,993.3,2.42
2011-新北市-1,1,12.13,327.93,89.4,1002.71,2.47
2011-桃園市-1,1,12.08,106.17,83.5,1000.92,2.02
2011-基隆市-1,1,13.15,267.85,79.5,1015.4,7.15
2011-新竹縣-1,1,11.54,89.44,84.11,977.5,2.21
2011-新竹市-1,1,13.5,54,79,1020.6,1.2
2011-苗栗縣-1,1,11.92,54.91,81.5,988.72,2.1
2011-臺中市-1,1,11.43,39.46,76.5,1013.5,4.13
2011-彰化縣-1,1,14.65,24,0,0,3.85
2011-南投縣-1,1,6.88,68.19,79.5,772,2.08
2011-雲林縣-1,1,14.02,27.25,0,0,3.22
2011-嘉義縣-1,1,10.83,46.64,91,875.25,0.67
2011-嘉義市-1,1,14.7,25.7,80,1016.5,3
2011-臺南市-1,1,15.27,13.27,73.5,1014.22,3.02
2011-高雄市-1,1,16.38,39.37,72,1017.47,1.15
2011-屏東縣-1,1,16.61,39.78,70,997.78,2.31
2011-宜蘭縣-1,1,12.29,179.11,82.5,984.83,1.85
2011-花蓮縣-1,1,13.21,85.34,71,971.28,1.56
2011-臺東縣-1,1,14.56,63.89,74.5,963.34,2.85
2011-金門縣-1,1,10.6,3.1,70,1020.8,4.2
2011-連江縣-1,1,7.1,16.9,76,1015.6,4.7
2011-澎湖縣-1,1,14.85,11.35,78.5,1017.05,10.2
2011-臺北市-2,2,15.07,80.31,83.18,988.91,1.82
2011-新北市-2,2,15.05,162.57,86.52,998.13,1.74
2011-桃園市-2,2,14.63,77.39,81.17,996.53,1.48
2011-基隆市-2,2,16.2,162.45,78.5,1010.35,5
2011-新竹縣-2,2,13.76,63.86,82.67,973.88,1.34
2011-新竹市-2,2,14.7,51.5,83,1016.5,0.8
2011-苗栗縣-2,2,14.15,44.68,81,991.2,1.67
2011-臺中市-2,2,13.23,35.77,78.5,1010.2,3.17
2011-彰化縣-2,2,16.3,17.38,0,0,2.5
2011-南投縣-2,2,8.69,35.37,73.5,770.95,2.01
2011-雲林縣-2,2,15.9,21.88,0,0,2.28
2011-嘉義縣-2,2,12.47,29.57,85,873.45,0.77
2011-嘉義市-2,2,16.9,19.9,81,1013.2,2
2011-臺南市-2,2,17.68,13.67,73,1011.08,2.13
2011-高雄市-2,2,19.08,19.39,72,1014.4,1.02
2011-屏東縣-2,2,19.04,33.17,73,995.22,1.55
2011-宜蘭縣-2,2,15.58,87.48,79.5,980.51,1.67
2011-花蓮縣-2,2,15.75,65.56,73,967.8,1.34
2011-臺東縣-2,2,16.86,49.78,74.5,960.42,1.84
2011-金門縣-2,2,12.6,19.1,77,1016,3.1
2011-連江縣-2,2,9.1,55.4,84,1010,3.3
2011-澎湖縣-2,2,16.45,15.15,80.5,1013.7,7.05
2011-臺北市-3,3,14.27,121.6,80.27,991.54,2.42
2011-新北市-3,3,14.42,196.35,83.24,1000.9,2.33
2011-桃園市-3,3,14.38,118.17,77.33,998.93,2.3
2011-基隆市-3,3,15.45,171.2,74.5,1013.45,5.7
2011-新竹縣-3,3,13.9,112.93,80.56,975.73,1.82
2011-新竹市-3,3,15.6,68.5,76,1018.4,0.9
2011-苗栗縣-3,3,14.83,78.1,78.5,995.93,2.05
2011-臺中市-3,3,14.88,47.04,75.5,1001.3,2.5
2011-彰化縣-3,3,17.1,16.25,0,0,2.75
2011-南投縣-3,3,9.74,75.5,80,772.8,2.16
2011-雲林縣-3,3,17,30.25,0,0,2.38
2011-嘉義縣-3,3,13.63,45.81,88,875.05,0.63
2011-嘉義市-3,3,18,49.7,77,1014.8,2
2011-臺南市-3,3,19.03,12.12,68,1012.7,2.27
2011-高雄市-3,3,20.32,26.32,68,1016.13,0.95
2011-屏東縣-3,3,19,22.75,71,996.78,2.29
2011-宜蘭縣-3,3,14.52,187.93,79,983.48,1.78
2011-花蓮縣-3,3,14.86,85.34,74,970.47,1.38
2011-臺東縣-3,3,16.02,43.18,75,962.82,2.35
2011-金門縣-3,3,13.9,16,66,1018,3.8
2011-連江縣-3,3,10.5,16.9,78,1012.5,3.5
2011-澎湖縣-3,3,18.45,20.3,73.5,1015.15,8.05
2011-臺北市-4,4,19.84,44.62,73.73,986.34,1.8
2011-新北市-4,4,19.54,59.7,78.84,995.44,1.68
2011-桃園市-4,4,19.98,40.94,71.33,993.9,1.3
2011-基隆市-4,4,20.2,47.55,74.5,1007.55,4.75
2011-新竹縣-4,4,18.83,36.98,75.78,972.03,1.03
2011-新竹市-4,4,20.7,27,76,1013.3,1
2011-苗栗縣-4,4,19.96,16.06,74.8,987.42,1.24
2011-臺中市-4,4,20.3,9.04,73.4,995.7,1.78
2011-彰化縣-4,4,22.25,2.88,0,0,1.65
2011-南投縣-4,4,12.56,28.42,72,772,1.86
2011-雲林縣-4,4,21.33,9,0,0,1.62
2011-嘉義縣-4,4,15.83,12.8,81,873.3,0.83
2011-嘉義市-4,4,22.7,4.6,74,1010.8,1.6
2011-臺南市-4,4,23.43,18.65,66,1008.86,1.65
2011-高雄市-4,4,23.83,33.89,69,1012.57,0.83
2011-屏東縣-4,4,21.98,54.52,72,993.34,1.61
2011-宜蘭縣-4,4,19.33,28.67,73.5,978.34,1.62
2011-花蓮縣-4,4,18.83,61.79,71,966.03,1.24
2011-臺東縣-4,4,19.42,80.91,74.75,959.17,1.78
2011-金門縣-4,4,18.6,21.7,76,1012.1,2.9
2011-連江縣-4,4,16.1,39.6,81,1005.7,2.8
2011-澎湖縣-4,4,22.3,22.35,75.5,1011.15,4.45
2011-臺北市-5,5,23.07,272.44,84.27,982.14,1.79
2011-新北市-5,5,22.85,352.18,88.56,991.07,1.53
2011-桃園市-5,5,23.05,276.17,83.5,989.52,1.12
2011-基隆市-5,5,23.2,322.25,85,1002.6,4.6
2011-新竹縣-5,5,22.11,300.64,84.44,968.38,0.89
2011-新竹市-5,5,24.1,184.5,83,1008.7,0.9
2011-苗栗縣-5,5,23.1,258.5,83.2,983.38,1
2011-臺中市-5,5,22.4,119.64,82,997.64,1.78
2011-彰化縣-5,5,25.53,77.12,84,997.3,1.4
2011-南投縣-5,5,15.6,322.48,84,771.15,2
2011-雲林縣-5,5,24.42,127.75,0,0,1.72
2011-嘉義縣-5,5,18.97,354.53,89,871.05,0.87
2011-嘉義市-5,5,25.6,150,80,1006.5,1.6
2011-臺南市-5,5,26.35,137.02,72.5,1004.36,1.67
2011-高雄市-5,5,26.42,273.93,75,1008.1,0.83
2011-屏東縣-5,5,24.87,207.45,81,989.04,1.27
2011-宜蘭縣-5,5,22.73,359.55,81,973.87,1.42
2011-花蓮縣-5,5,22.18,269.21,79,961.82,0.99
2011-臺東縣-5,5,22.69,264.57,85.5,955.04,1.68
2011-金門縣-5,5,22.1,90.6,88,1006.8,2.5
2011-連江縣-5,5,19.9,230.5,91,1001,2.3
2011-澎湖縣-5,5,24.75,65.9,81,1006.65,4.35
2011-臺北市-6,6,27.17,318.84,79.27,979.27,1.61
2011-新北市-6,6,26.9,296.27,84.2,988,1.45
2011-桃園市-6,6,27.12,358.67,78.33,986.48,1.18
2011-基隆市-6,6,27.3,221.7,82,999.15,4.9
2011-新竹縣-6,6,25.71,363.28,80.67,965.73,0.88
2011-新竹市-6,6,28.3,159.5,77,1005.5,1.3
2011-苗栗縣-6,6,26.88,276.79,77,980.82,1.1
2011-臺中市-6,6,25.98,66.83,75.25,996.15,2
2011-彰化縣-6,6,28.8,54.12,78,995.4,1.47
2011-南投縣-6,6,17.3,267.54,78.5,770.8,2.28
2011-雲林縣-6,6,27,201.62,0,0,1.82
2011-嘉義縣-6,6,20.57,262.9,84,870.05,0.83
2011-嘉義市-6,6,28.7,148.5,76,1004.1,2.3
2011-臺南市-6,6,28.62,207.85,71.5,1002.12,1.97
2011-高雄市-6,6,28.47,288.39,76,1006,1.07
2011-屏東縣-6,6,26.76,309.58,83,987.64,1.55
2011-宜蘭縣-6,6,26.03,131.09,79,971.13,1.68
2011-花蓮縣-6,6,25.05,129.98,76,959.58,1.19
2011-臺東縣-6,6,24.9,417.88,83.5,953.27,1.66
2011-金門縣-6,6,27.4,114.7,89,1002.7,2.6
2011-連江縣-6,6,26,58.1,89,996.1,4.6
2011-澎湖縣-6,6,28,76.65,83,1004.1,4.15
2011-臺北市-7,7,27.95,127.93,78,978.28,1.55
2011-新北市-7,7,27.61,129.56,82.24,987.04,1.4
2011-桃園市-7,7,27.6,192.06,76.6,985.52,1.1
2011-基隆市-7,7,28.6,83.6,79,998.15,4.75
2011-新竹縣-7,7,25.94,272.52,80.67,964.81,0.74
2011-新竹市-7,7,28.5,103.5,78,1004.6,1.2
2011-苗栗縣-7,7,26.82,263.14,78.2,979.98,0.96
2011-臺中市-7,7,28.38,204.2,76.25,995.05,1.8
2011-彰化縣-7,7,28.3,158.5,77,994.4,1.55
2011-南投縣-7,7,17.98,347.84,79.33,843.1,1.6
2011-雲林縣-7,7,27,281.62,0,0,1.78
2011-嘉義縣-7,7,20.17,674.79,90,869.2,0.8
2011-嘉義市-7,7,28.7,175.1,77,1003.1,2.2
2011-臺南市-7,7,28.38,449.8,75.5,1001.2,1.83
2011-高雄市-7,7,27.82,615.11,80,1005.07,0.83
2011-屏東縣-7,7,26.28,481.77,81,986.72,1.26
2011-宜蘭縣-7,7,26.74,93.21,77,970.15,1.67
2011-花蓮縣-7,7,25.57,103.28,77,958.55,1.07
2011-臺東縣-7,7,25.06,252.03,83.25,952.19,1.44
2011-金門縣-7,7,27.5,122.4,91,1001.3,2.3
2011-連江縣-7,7,27.4,33.8,87,995.1,3.9
2011-澎湖縣-7,7,28.15,184.35,83,1003.05,3.55
2011-臺北市-8,8,27.93,173.56,77.82,978.79,1.66
2011-新北市-8,8,27.65,211.9,81.48,987.66,1.58
2011-桃園市-8,8,27.88,141.33,75,985.88,1.15
2011-基隆市-8,8,28.85,81.25,78,998.85,4.55
2011-新竹縣-8,8,26.26,150.48,78.56,965.17,0.8
2011-新竹市-8,8,29,43,75,1005.1,1.1
2011-苗栗縣-8,8,26.8,136.33,77,975.15,0.9
2011-臺中市-8,8,29.2,165.65,74,999.65,2.15
2011-彰化縣-8,8,0,0,0,0,0
2011-南投縣-8,8,17.4,263.23,79.5,770.15,1.7
2011-雲林縣-8,8,29.37,189.5,0,0,1.93
2011-嘉義縣-8,8,20.2,522.11,88,869.15,0.85
2011-嘉義市-8,8,29.1,112.8,76,1003,2
2011-臺南市-8,8,28.93,321.18,72,1001,1.98
2011-高雄市-8,8,28.45,525.82,76,1004.9,1.03
2011-屏東縣-8,8,26.69,701.72,81,986.84,1.35
2011-宜蘭縣-8,8,27.02,278.01,74,970.62,1.82
2011-花蓮縣-8,8,26.41,475.48,73,971.76,1.23
2011-臺東縣-8,8,25.29,438.96,80,952.36,1.59
2011-金門縣-8,8,28.3,185.4,86,1002.2,2.5
2011-連江縣-8,8,27.8,71.6,85,996.2,3.7
2011-澎湖縣-8,8,29,168.15,79.5,1003.1,3.85
2011-臺北市-9,9,25.85,69.31,75.82,981.84,2
2011-新北市-9,9,25.69,83.53,80.74,991.9,1.78
2011-桃園市-9,9,26.25,26.11,70.2,988.78,1.28
2011-基隆市-9,9,26.4,32.25,78.5,1002.25,4.4
